1,7.1,19
12,8,240
14,5.7,8
15,6.9,28
50,7.4,22
53,7,13
55,6.2,426
61,6.4,130
63,7.2,23
68,6.2,10
73,6.7,15
75,7.9,1581
80,5.3,6
85,7.2,59
89,7.3,17
90,6.9,208
91,7.7,461
92,7.9,3758
97,6.3,126
99,5.4,14
100,5,1
101,7.5,572
108,7.2,213
117,7.7,3083
118,7,2313
121,7.3,419
123,7.6,537
125,6.3,79
129,6.9,229
141,8.2,3120
142,8.1,4168
143,7.9,2525
144,7.8,2737
146,7.1,876
147,8,3432
148,8.3,2405
150,7.9,427
154,6.9,44
158,7.6,75
159,7.7,3574
161,8.3,8670
162,8.2,1531
164,7.9,1462
170,7.7,2080
171,7.9,285
172,8,425
174,8.1,756
176,7.9,335
180,7.5,892
185,7.5,196
186,7.9,3833
187,7.7,1517
188,7.8,1044
189,7.4,769
190,7.6,619
192,8.1,3821
193,7.6,855
194,7.7,984
195,7.6,734
196,7.5,500
197,7,410
202,7.9,2595
203,7.3,409
204,8.1,2632
208,7.8,171
209,7.6,117
211,7.6,877
213,7.6,236
215,7.2,1321
216,7.9,695
217,8,123
220,7.5,105
227,7.5,165
229,7.3,89
230,7.4,1317
232,6.6,255
233,8.2,124
234,7.4,217
235,7.6,148
236,7.9,431
240,7.1,464
247,6.7,567
249,7.1,218
250,7.3,385
252,7.4,112
253,6,20
254,7.4,362
255,7.9,305
256,7.8,391
258,7.3,1124
260,6.9,53
261,7.5,844
264,7.3,227
272,5.5,14
273,6.5,4
274,5,1
278,6.7,192
283,7.7,151
285,8,1244
286,7.6,301
287,7.3,321
289,7.3,1943
290,7.2,793
292,6.8,280
293,7.2,172
294,7.5,256
299,8,353
303,7.9,3075
304,7.7,49
306,7.2,397
313,7.1,841
314,7.4,588
315,8,1472
317,7.6,413
318,7.5,591
319,7.8,1742
320,7.8,3001
322,7.1,1266
324,6.6,243
325,7.9,939
326,7.4,320
327,7.3,649
331,6.5,243
332,7.7,266
333,7.5,688
336,6.9,181
339,8,1162
340,7.8,3139
345,7.6,123
346,7.1,32
355,7.4,23
356,7.4,25
357,7.6,109
358,7.5,183
359,7.9,44
363,7.6,21
365,6.9,20
366,6.8,26
368,6.6,29
371,8,92
373,7.6,93
375,7.5,45
376,6.9,136
378,6.9,180
381,6.9,573
382,7.1,290
384,7.5,330
388,5.9,74
390,6.1,197
393,7.4,286
395,6.2,12
396,7.3,959
400,7.4,266
403,7.4,370
404,7.5,218
405,8.1,3890
407,7.6,250
408,6.4,79
417,6.8,108
419,7,49
420,6.5,48
424,6.9,299
425,7.2,62
426,7.6,291
428,7.5,171
429,7.5,88
430,7.6,244
431,6.7,23
432,6.5,37
433,6.5,23
438,7.3,75
441,7.8,66
443,7.3,33
444,6.7,14
445,7,26
446,7.2,57
447,7.7,290
448,8.2,565
449,7.3,472
450,7.7,521
451,7.6,18
455,7.8,74
456,7.3,45
459,5.6,16
463,6.4,65
467,7.3,9
477,7.2,311
479,7.7,392
484,8.3,3001
486,7.7,968
487,8,3017
488,8.5,6024
489,7.8,600
490,7.6,224
491,6.9,96
492,6.8,109
493,6.5,56
498,7.8,870
499,7.6,1082
505,6.9,850
506,7.9,4564
509,7.1,127
510,7.8,87
511,7.5,396
513,7.7,143
514,7.8,4
515,7.9,18
520,6.6,20
521,7.5,45
522,7.4,111
525,7,21
526,6.4,16
527,6.8,6
528,8.1,4549
533,6.7,41
534,6.5,62
535,7,106
536,7.9,7
538,7.4,17
541,7,176
542,7.1,1494
544,7.5,49
546,7.7,28
550,6.6,15
551,7,24
552,5.8,36
555,7,31
558,8,465
559,7.1,87
562,5.4,28
563,6.6,164
564,5.8,22
565,7.1,156
566,7.2,71
567,7.5,36
574,7.2,50
578,6.5,2540
582,6.7,23
584,7.2,43
585,6.6,55
588,7.7,37
590,8.2,6
594,6.8,285
595,7.2,17
596,6.8,13
