131,Esteban Sapir,http://mubi.com/cast/esteban-sapir
46,Buster Keaton,http://mubi.com/cast/buster-keaton
47,Clyde Bruckman,http://mubi.com/cast/clyde-bruckman
62,Claude Chabrol,http://mubi.com/cast/claude-chabrol
23290,Edward F. Cline,http://mubi.com/cast/edward-f-cline
458,Jan Švankmajer,http://mubi.com/cast/jan-svankmajer
530,Lance Hammer,http://mubi.com/cast/lance-hammer
539,Michel Gondry,http://mubi.com/cast/michel-gondry
576,Mike Leigh,http://mubi.com/cast/mike-leigh
586,Erick Zonca,http://mubi.com/cast/erick-zonca
619,Fernando Eimbcke,http://mubi.com/cast/fernando-eimbcke
651,Errol Morris,http://mubi.com/cast/errol-morris
665,Paul Thomas Anderson,http://mubi.com/cast/paul-thomas-anderson
692,Gustavo Mosquera R.,http://mubi.com/cast/gustavo-mosquera-r
716,Götz Spielmann,http://mubi.com/cast/gotz-spielmann
733,Guy Maddin,http://mubi.com/cast/guy-maddin
1700,Wong Kar-wai,http://mubi.com/cast/wong-kar-wai
2588,Vincent Paronnaud,http://mubi.com/cast/vincent-paronnaud
2589,Marjane Satrapi,http://mubi.com/cast/marjane-satrapi
802,Gus Van Sant,http://mubi.com/cast/gus-van-sant
819,Abel Ferrara,http://mubi.com/cast/abel-ferrara
830,James Benning,http://mubi.com/cast/james-benning
832,David Lynch,http://mubi.com/cast/david-lynch
1464,Lars von Trier,http://mubi.com/cast/lars-von-trier
3197,Joel Coen,http://mubi.com/cast/joel-coen
3198,Ethan Coen,http://mubi.com/cast/ethan-coen
976,Jason Reitman,http://mubi.com/cast/jason-reitman
996,Pedro Almodóvar,http://mubi.com/cast/pedro-almodovar
1007,Alejandro González Iñárritu,http://mubi.com/cast/alejandro-gonzalez-inarritu
1014,Takashi Miike,http://mubi.com/cast/takashi-miike
1051,Noah Baumbach,http://mubi.com/cast/noah-baumbach
1114,Tony Kaye,http://mubi.com/cast/tony-kaye
1126,Christopher Nolan,http://mubi.com/cast/christopher-nolan
1132,Darren Aronofsky,http://mubi.com/cast/darren-aronofsky
1138,Danny Boyle,http://mubi.com/cast/danny-boyle
1150,Wes Anderson,http://mubi.com/cast/wes-anderson
1157,Stanley Kubrick,http://mubi.com/cast/stanley-kubrick
1163,Alfred Hitchcock,http://mubi.com/cast/alfred-hitchcock
1582,Federico Fellini,http://mubi.com/cast/federico-fellini
1215,Peter Greenaway,http://mubi.com/cast/peter-greenaway
3102,Jennifer Abbott,http://mubi.com/cast/jennifer-abbott
3099,Mark Achbar,http://mubi.com/cast/mark-achbar
1248,Richard Kelly,http://mubi.com/cast/richard-kelly
1264,Quentin Tarantino,http://mubi.com/cast/quentin-tarantino
1287,Michael Curtiz,http://mubi.com/cast/michael-curtiz
1335,John Huston,http://mubi.com/cast/john-huston
1309,Billy Wilder,http://mubi.com/cast/billy-wilder
1357,Charlie Chaplin,http://mubi.com/cast/charlie-chaplin
2778,Charles Laughton,http://mubi.com/cast/charles-laughton
1392,Roman Polanski,http://mubi.com/cast/roman-polanski
1435,Ridley Scott,http://mubi.com/cast/ridley-scott
1448,Woody Allen,http://mubi.com/cast/woody-allen
2557,Kevin Smith,http://mubi.com/cast/kevin-smith
1482,Mike Nichols,http://mubi.com/cast/mike-nichols
1490,Richard Linklater,http://mubi.com/cast/richard-linklater
646,Martin Scorsese,http://mubi.com/cast/martin-scorsese
36,Michelangelo Antonioni,http://mubi.com/cast/michelangelo-antonioni
1600,Terry Gilliam,http://mubi.com/cast/terry-gilliam
1612,Terrence Malick,http://mubi.com/cast/terrence-malick
1630,Mathieu Kassovitz,http://mubi.com/cast/mathieu-kassovitz
1635,Alain Resnais,http://mubi.com/cast/alain-resnais
1709,Jim Jarmusch,http://mubi.com/cast/jim-jarmusch
1723,Robert Bresson,http://mubi.com/cast/robert-bresson
1754,Michael Powell,http://mubi.com/cast/michael-powell
3519,Emeric Pressburger,http://mubi.com/cast/emeric-pressburger
1762,Carol Reed,http://mubi.com/cast/carol-reed
1784,David Cronenberg,http://mubi.com/cast/david-cronenberg
1831,Jared Hess,http://mubi.com/cast/jared-hess
772,Michael Haneke,http://mubi.com/cast/michael-haneke
1865,Bernardo Bertolucci,http://mubi.com/cast/bernardo-bertolucci
1880,Sidney Lumet,http://mubi.com/cast/sidney-lumet
1897,Spike Jonze,http://mubi.com/cast/spike-jonze
1908,Lucía Puenzo,http://mubi.com/cast/lucia-puenzo
2431,Juan Pablo Rebella,http://mubi.com/cast/juan-pablo-rebella
2434,Pablo Stoll Ward,http://mubi.com/cast/pablo-stoll-ward
1987,Dennis Hopper,http://mubi.com/cast/dennis-hopper
1994,Sol Tryon,http://mubi.com/cast/sol-tryon
2020,Don Coscarelli,http://mubi.com/cast/don-coscarelli
100,Werner Herzog,http://mubi.com/cast/werner-herzog
2089,Orson Welles,http://mubi.com/cast/orson-welles
2103,Spike Lee,http://mubi.com/cast/spike-lee
2115,Alfonso Cuarón,http://mubi.com/cast/alfonso-cuaron
2728,Sofia Coppola,http://mubi.com/cast/sofia-coppola
3036,Larry Clark,http://mubi.com/cast/larry-clark
1965,Vincent Gallo,http://mubi.com/cast/vincent-gallo
56,Luis Buñuel,http://mubi.com/cast/luis-bunuel
1350,Ingmar Bergman,http://mubi.com/cast/ingmar-bergman
2481,Chris Marker,http://mubi.com/cast/chris-marker
3581,Rob Reiner,http://mubi.com/cast/rob-reiner
3590,George A. Romero,http://mubi.com/cast/george-a-romero
3598,Terry Jones,http://mubi.com/cast/terry-jones
3635,Robert Rodriguez,http://mubi.com/cast/robert-rodriguez
1564,Jean-Pierre Jeunet,http://mubi.com/cast/jean-pierre-jeunet
3647,Marc Caro,http://mubi.com/cast/marc-caro
3684,Ryan Fleck,http://mubi.com/cast/ryan-fleck
3696,Hal Ashby,http://mubi.com/cast/hal-ashby
3727,Ang Lee,http://mubi.com/cast/ang-lee
3028,Sean Penn,http://mubi.com/cast/sean-penn
3813,David Lean,http://mubi.com/cast/david-lean
3894,Anthony Asquith,http://mubi.com/cast/anthony-asquith
3904,Marcel Carné,http://mubi.com/cast/marcel-carne
3915,Robert Hamer,http://mubi.com/cast/robert-hamer
3974,Julien Duvivier,http://mubi.com/cast/julien-duvivier
3995,Leslie Howard,http://mubi.com/cast/leslie-howard
4005,Laurence Olivier,http://mubi.com/cast/laurence-olivier
1594,Vittorio De Sica,http://mubi.com/cast/vittorio-de-sica
2150,Pier Paolo Pasolini,http://mubi.com/cast/pier-paolo-pasolini
4091,Robert Altman,http://mubi.com/cast/robert-altman
4116,Neil Jordan,http://mubi.com/cast/neil-jordan
4158,Steven Soderbergh,http://mubi.com/cast/steven-soderbergh
2204,Jane Campion,http://mubi.com/cast/jane-campion
4187,James Foley,http://mubi.com/cast/james-foley
1898,Charlie Kaufman,http://mubi.com/cast/charlie-kaufman
783,Jean-Luc Godard,http://mubi.com/cast/jean-luc-godard
4301,Gregg Araki,http://mubi.com/cast/gregg-araki
4321,Shane Meadows,http://mubi.com/cast/shane-meadows
2211,Atom Egoyan,http://mubi.com/cast/atom-egoyan
302,Luc Dardenne,http://mubi.com/cast/luc-dardenne
